album,Black,Gray,White,Beige / Cream,Brown,Brown / Tan,Red,Orange / Gold,Yellow,Green,Blue,Purple,Pink,Pastel / Neutral,Muted Slate
1989,0.0,5.54,32.21,49.44,0.5,0.17,0.24,2.85,0.0,0.0,0.01,0.0,0.0,3.57,5.47
1989 Taylor s Version,0.17,17.37,17.62,1.06,6.6,2.43,1.24,13.91,0.0,0.0,14.07,0.0,0.0,23.69,1.84
Fearless,0.07,0.01,34.19,27.19,7.08,0.03,0.01,31.18,0.23,0.0,0.0,0.0,0.0,0.01,0.0
Fearless Taylor s Version,0.0,0.0,0.0,12.87,54.48,0.0,0.0,32.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lover,0.0,6.09,10.7,8.78,0.47,2.75,0.38,0.25,0.0,0.0,5.91,0.0,0.73,62.86,1.08
Midnights,10.16,3.36,43.08,0.39,0.0,0.54,21.6,4.86,0.0,0.0,0.28,1.97,7.17,2.95,3.64
Red,0.0,1.92,1.46,5.36,3.6,27.86,1.58,1.94,0.0,0.0,22.58,5.74,2.55,0.17,25.24
Red Taylor s Version,8.71,4.35,0.29,11.37,27.99,15.74,14.55,13.15,0.88,0.0,0.05,0.0,0.0,0.24,2.68
Speak Now,2.36,1.64,36.15,5.08,0.65,0.14,4.33,3.62,0.0,0.0,0.16,15.52,20.89,7.61,1.85
Speak Now Taylor s Version,43.34,0.0,0.02,3.87,6.62,0.0,6.24,11.89,0.0,0.0,0.01,24.57,2.8,0.59,0.05
THE TORTURED POETS DEPARTMENT,0.48,25.03,60.46,0.0,0.0,14.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Swift,7.83,0.7,1.96,14.44,9.62,2.81,2.11,29.3,2.14,10.31,10.07,0.0,0.0,4.78,3.93
evermore,16.14,25.36,13.8,4.31,8.7,18.45,7.98,2.85,0.03,0.0,0.0,0.0,0.13,0.43,1.82
folklore,0.03,78.85,21.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reputation,11.7,50.53,37.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
