album,1989,1989 Taylor s Version,Fearless,Fearless Taylor s Version,Lover,Midnights,Red,Red Taylor s Version,Speak Now,Speak Now Taylor s Version,THE TORTURED POETS DEPARTMENT,Taylor Swift,evermore,folklore,reputation
1989,1.0,0.356,0.785,0.196,0.269,0.49,0.177,0.276,0.537,0.075,0.523,0.395,0.346,0.229,0.391
1989 Taylor s Version,0.356,1.0,0.51,0.317,0.723,0.491,0.306,0.324,0.496,0.115,0.57,0.519,0.531,0.53,0.598
Fearless,0.785,0.51,1.0,0.5,0.175,0.6,0.116,0.423,0.6,0.186,0.571,0.691,0.342,0.164,0.372
Fearless Taylor s Version,0.196,0.317,0.5,1.0,0.035,0.05,0.113,0.798,0.074,0.236,0.0,0.667,0.24,0.0,0.0
Lover,0.269,0.723,0.175,0.035,1.0,0.211,0.112,0.081,0.315,0.024,0.193,0.214,0.164,0.133,0.171
Midnights,0.49,0.491,0.6,0.05,0.211,1.0,0.114,0.253,0.825,0.268,0.801,0.202,0.521,0.286,0.593
Red,0.177,0.306,0.116,0.113,0.112,0.114,1.0,0.398,0.144,0.097,0.175,0.336,0.39,0.05,0.053
Red Taylor s Version,0.276,0.324,0.423,0.798,0.081,0.253,0.398,1.0,0.125,0.403,0.129,0.626,0.613,0.105,0.128
Speak Now,0.537,0.496,0.6,0.074,0.315,0.825,0.144,0.125,1.0,0.267,0.725,0.187,0.36,0.238,0.501
Speak Now Taylor s Version,0.075,0.115,0.186,0.236,0.024,0.268,0.097,0.403,0.267,1.0,0.006,0.409,0.41,0.0,0.152
THE TORTURED POETS DEPARTMENT,0.523,0.57,0.571,0.0,0.193,0.801,0.175,0.129,0.725,0.006,1.0,0.069,0.648,0.595,0.828
Taylor Swift,0.395,0.519,0.691,0.667,0.214,0.202,0.336,0.626,0.187,0.409,0.069,1.0,0.31,0.031,0.081
evermore,0.346,0.531,0.342,0.24,0.164,0.521,0.39,0.613,0.36,0.41,0.648,0.31,1.0,0.701,0.775
folklore,0.229,0.53,0.164,0.0,0.133,0.286,0.05,0.105,0.238,0.0,0.595,0.031,0.701,1.0,0.913
reputation,0.391,0.598,0.372,0.0,0.171,0.593,0.053,0.128,0.501,0.152,0.828,0.081,0.775,0.913,1.0
